net_name,hpwl,type_die
N150,1598,BOTTOM
N151,1796,BOTTOM
N152,1192,BOTTOM
N153,935,BOTTOM
N154,1139,BOTTOM
N155,1378,BOTTOM
N156,3875,BOTTOM
N157,3062,BOTTOM
N158,2597,BOTTOM
N159,2610,BOTTOM
N160,770,BOTTOM
N161,3223,BOTTOM
N162,1357,BOTTOM
N163,1933,BOTTOM
N164,3049,BOTTOM
N165,1949,BOTTOM
N166,851,BOTTOM
N167,1037,BOTTOM
N168,1732,BOTTOM
N169,1894,BOTTOM
N170,821,BOTTOM
N171,651,BOTTOM
N172,940,BOTTOM
N173,961,BOTTOM
N174,796,BOTTOM
N175,1421,BOTTOM
N176,1486,BOTTOM
N177,1292,BOTTOM
N178,2103,BOTTOM
N179,2547,BOTTOM
N180,2412,BOTTOM
N181,3500,BOTTOM
N182,1304,BOTTOM
N183,4056,BOTTOM
N184,1957,BOTTOM
N185,3740,BOTTOM
N186,1606,BOTTOM
N187,3901,BOTTOM
N188,1088,BOTTOM
N189,2610,BOTTOM
N190,666,BOTTOM
N191,2042,BOTTOM
N192,894,BOTTOM
N193,2356,BOTTOM
N194,764,BOTTOM
N195,1207,BOTTOM
N196,2259,BOTTOM
N197,2082,BOTTOM
N198,1436,BOTTOM
N199,1688,BOTTOM
N200,1538,BOTTOM
N201,2122,BOTTOM
N202,1576,BOTTOM
N203,895,BOTTOM
N204,1582,BOTTOM
N205,3885,BOTTOM
N206,1761,BOTTOM
N207,2291,BOTTOM
N208,1889,BOTTOM
N209,2252,BOTTOM
N210,3087,BOTTOM
N211,3599,BOTTOM
N212,3137,BOTTOM
N213,906,BOTTOM
N214,2478,BOTTOM
N215,2662,BOTTOM
N216,1566,BOTTOM
N217,4249,BOTTOM
N218,1141,BOTTOM
N219,58,BOTTOM
N220,81,BOTTOM
N221,96,BOTTOM
N222,114,BOTTOM
N223,81,BOTTOM
N224,156,BOTTOM
N225,2713,BOTTOM
N226,2677,BOTTOM
N227,58,BOTTOM
N228,205,BOTTOM
N229,58,BOTTOM
N230,58,BOTTOM
N231,95,BOTTOM
N232,92,BOTTOM
N233,79,BOTTOM
N234,161,BOTTOM
N235,211,BOTTOM
N236,92,BOTTOM
N237,92,BOTTOM
N238,108,BOTTOM
N239,79,BOTTOM
N240,58,BOTTOM
N241,554,BOTTOM
N242,92,BOTTOM
N243,92,BOTTOM
N244,58,BOTTOM
N245,79,BOTTOM
N246,97,BOTTOM
N247,79,BOTTOM
N248,93,BOTTOM
N249,94,BOTTOM
N250,243,BOTTOM
N251,297,BOTTOM
N252,92,BOTTOM
N253,231,BOTTOM
N254,152,BOTTOM
N255,79,BOTTOM
N256,92,BOTTOM
N257,92,BOTTOM
N258,210,BOTTOM
N259,150,BOTTOM
N260,79,BOTTOM
N261,92,BOTTOM
N262,135,BOTTOM
N263,58,BOTTOM
N264,92,BOTTOM
N265,181,BOTTOM
N266,110,BOTTOM
N267,170,BOTTOM
N268,277,BOTTOM
N269,143,BOTTOM
N270,248,BOTTOM
N271,172,BOTTOM
N272,102,BOTTOM
N273,167,BOTTOM
N274,58,BOTTOM
N275,79,BOTTOM
N276,79,BOTTOM
N277,172,BOTTOM
N278,128,BOTTOM
N279,172,BOTTOM
N280,92,BOTTOM
N281,168,BOTTOM
N282,65,BOTTOM
N283,92,BOTTOM
N284,92,BOTTOM
N285,124,BOTTOM
N286,249,BOTTOM
N287,106,BOTTOM
N288,58,BOTTOM
N289,224,BOTTOM
N290,92,BOTTOM
N291,92,BOTTOM
N292,209,BOTTOM
N293,394,BOTTOM
N294,172,BOTTOM
N295,58,BOTTOM
N296,92,BOTTOM
N297,92,BOTTOM
N298,58,BOTTOM
N299,69,BOTTOM
N300,389,BOTTOM
N301,406,BOTTOM
N302,267,BOTTOM
N303,93,BOTTOM
N304,93,BOTTOM
N305,93,BOTTOM
N306,141,BOTTOM
N307,152,BOTTOM
N308,120,BOTTOM
N309,13748,BOTTOM
N310,10965,BOTTOM
N311,15350,BOTTOM
N312,12838,BOTTOM
N313,38041,BOTTOM
N314,37,BOTTOM
N315,37,BOTTOM
N316,69,BOTTOM
N317,150,BOTTOM
N318,92,BOTTOM
N319,271,BOTTOM
N320,274,BOTTOM
N321,92,BOTTOM
N322,111,BOTTOM
N323,127,BOTTOM
N324,168,BOTTOM
N325,69,BOTTOM
N326,161,BOTTOM
N327,179,BOTTOM
N328,122,BOTTOM
N329,252,BOTTOM
N330,287,BOTTOM
N331,516,BOTTOM
N332,117,BOTTOM
N333,250,BOTTOM
N334,316,BOTTOM
N335,117,BOTTOM
N336,129,BOTTOM
N337,107,BOTTOM
N338,192,BOTTOM
N339,309,BOTTOM
N340,294,BOTTOM
N341,164,BOTTOM
N342,342,BOTTOM
N343,260,BOTTOM
N344,633,BOTTOM
N345,502,BOTTOM
N346,353,BOTTOM
N347,69,BOTTOM
N348,190,BOTTOM
N349,304,BOTTOM
N350,180,BOTTOM
N351,105,BOTTOM
N352,294,BOTTOM
N353,173,BOTTOM
N354,270,BOTTOM
N355,219,BOTTOM
N356,159,BOTTOM
N357,117,BOTTOM
N358,101,BOTTOM
N359,69,BOTTOM
N360,113,BOTTOM
N361,239,BOTTOM
N362,69,BOTTOM
N363,117,BOTTOM
N364,115,BOTTOM
N365,69,BOTTOM
N366,157,BOTTOM
N367,69,BOTTOM
N368,97,BOTTOM
N369,225,BOTTOM
N370,165,BOTTOM
N371,159,BOTTOM
N372,143,BOTTOM
N373,105,BOTTOM
N374,375,BOTTOM
N375,196,BOTTOM
N376,209,BOTTOM
N377,150,BOTTOM
N378,165,BOTTOM
N379,244,BOTTOM
N380,9186,BOTTOM
N381,24196,BOTTOM
N382,13179,BOTTOM
N383,160,BOTTOM
N384,78,BOTTOM
N385,95,BOTTOM
N386,131,BOTTOM
N387,96,BOTTOM
N388,33377,BOTTOM
N389,31678,BOTTOM
N390,26301,BOTTOM
N391,35975,BOTTOM
N392,31473,BOTTOM
N393,33202,BOTTOM
N394,35608,BOTTOM
N395,28917,BOTTOM
N396,27475,BOTTOM
N397,30430,BOTTOM
N398,38016,BOTTOM
N399,32611,BOTTOM
N400,28793,BOTTOM
N401,30503,BOTTOM
N402,30203,BOTTOM
N403,25085,BOTTOM
N404,24504,BOTTOM
N405,25572,BOTTOM
N406,33341,BOTTOM
N407,24563,BOTTOM
N408,31529,BOTTOM
N409,24937,BOTTOM
N410,26718,BOTTOM
N411,25907,BOTTOM
N412,29400,BOTTOM
N413,35428,BOTTOM
N414,30401,BOTTOM
N415,31326,BOTTOM
N416,30926,BOTTOM
N417,30013,BOTTOM
N418,26078,BOTTOM
N419,27727,BOTTOM
N420,24315,BOTTOM
N421,28865,BOTTOM
N422,20378,BOTTOM
N423,30386,BOTTOM
N424,23787,BOTTOM
N425,28273,BOTTOM
N426,33276,BOTTOM
N427,29065,BOTTOM
N428,27268,BOTTOM
N429,28959,BOTTOM
N430,38220,BOTTOM
N431,29647,BOTTOM
N432,27200,BOTTOM
N433,33055,BOTTOM
N434,33022,BOTTOM
N435,29448,BOTTOM
N436,28994,BOTTOM
N437,31118,BOTTOM
N438,39595,BOTTOM
N439,33835,BOTTOM
N440,39635,BOTTOM
N441,33275,BOTTOM
N442,31579,BOTTOM
N443,31164,BOTTOM
N444,33862,BOTTOM
N445,33988,BOTTOM
N446,31727,BOTTOM
N447,31017,BOTTOM
N448,30963,BOTTOM
N449,38926,BOTTOM
N450,29574,BOTTOM
N451,39569,BOTTOM
N452,104,BOTTOM
N453,176,BOTTOM
N454,104,BOTTOM
N455,104,BOTTOM
N456,261,BOTTOM
N457,3811,BOTTOM
N458,124,BOTTOM
N459,91017,BOTTOM
N460,2935,BOTTOM
N461,197,BOTTOM
N462,7542,BOTTOM
N463,1808,BOTTOM
N464,1282,BOTTOM
N465,13869,BOTTOM
N466,105,BOTTOM
N467,64,BOTTOM
N468,64,BOTTOM
N469,64,BOTTOM
N470,100,BOTTOM
N471,74,BOTTOM
N472,410,BOTTOM
N473,436,BOTTOM
N474,2332,BOTTOM
N475,528,BOTTOM
N476,1474,BOTTOM
N477,13385,BOTTOM
N478,6324,BOTTOM
N479,11214,BOTTOM
N480,3283,BOTTOM
N481,4094,BOTTOM
N482,73,BOTTOM
N483,37,BOTTOM
N484,73,BOTTOM
N485,73,BOTTOM
N486,73,BOTTOM
N487,139,BOTTOM
N488,73,BOTTOM
N489,73,BOTTOM
N490,1477,BOTTOM
N491,952,BOTTOM
N492,1237,BOTTOM
N493,1043,BOTTOM
N494,1329,BOTTOM
N495,854,BOTTOM
N496,1198,BOTTOM
N497,949,BOTTOM
N498,84,BOTTOM
N499,320,BOTTOM
N500,3009,BOTTOM
N501,205,BOTTOM
N502,1782,BOTTOM
N503,111,BOTTOM
N504,221,BOTTOM
N505,195,BOTTOM
N506,37385,BOTTOM
N507,250,BOTTOM
N508,1419,BOTTOM
N509,25120,BOTTOM
N510,25325,BOTTOM
N511,14138,BOTTOM
N512,147,BOTTOM
N513,150,BOTTOM
N514,65,BOTTOM
N515,60,BOTTOM
N516,65,BOTTOM
N517,60,BOTTOM
N518,425,BOTTOM
N519,65,BOTTOM
N520,53,BOTTOM
N521,237,BOTTOM
N522,213,BOTTOM
N523,167,BOTTOM
N524,201,BOTTOM
N525,211,BOTTOM
N526,65,BOTTOM
N527,178,BOTTOM
N528,120,BOTTOM
N529,65,BOTTOM
N530,158,BOTTOM
N531,250,BOTTOM
N532,65,BOTTOM
N533,65,BOTTOM
N534,235,BOTTOM
N535,143,BOTTOM
N536,153,BOTTOM
N537,60,BOTTOM
N538,37,BOTTOM
N539,53,BOTTOM
N540,135,BOTTOM
N541,60,BOTTOM
N542,146,BOTTOM
N543,123,BOTTOM
N544,275,BOTTOM
N545,67,BOTTOM
N546,65,BOTTOM
N547,204,BOTTOM
N548,141,BOTTOM
N549,109,BOTTOM
N550,107,BOTTOM
N551,298,BOTTOM
N552,37,BOTTOM
N553,53,BOTTOM
N554,348,BOTTOM
N555,37,BOTTOM
N556,53,BOTTOM
N557,53,BOTTOM
N558,53,BOTTOM
N559,53,BOTTOM
N560,37,BOTTOM
N561,329,BOTTOM
N562,37,BOTTOM
N563,37,BOTTOM
N564,37,BOTTOM
N565,37,BOTTOM
N566,37,BOTTOM
N567,37,BOTTOM
N568,73,BOTTOM
N569,307,BOTTOM
N570,37,BOTTOM
N571,37,BOTTOM
N572,37,BOTTOM
N573,37,BOTTOM
N574,37,BOTTOM
N575,37,BOTTOM
N576,37,BOTTOM
N577,37,BOTTOM
N578,37,BOTTOM
N579,37,BOTTOM
N580,37,BOTTOM
N581,263,BOTTOM
N582,37,BOTTOM
N583,56,BOTTOM
N584,56,BOTTOM
N585,37,BOTTOM
N586,178,BOTTOM
N587,53,BOTTOM
N588,65,BOTTOM
N589,65,BOTTOM
N590,65,BOTTOM
N591,65,BOTTOM
N592,123,BOTTOM
N593,409,BOTTOM
N594,53,BOTTOM
N595,141,BOTTOM
N596,65,BOTTOM
N597,164,BOTTOM
N598,284,BOTTOM
N599,264,BOTTOM
N600,159,BOTTOM
N601,53,BOTTOM
N602,53,BOTTOM
N603,53,BOTTOM
N604,110,BOTTOM
N605,280,BOTTOM
N606,53,BOTTOM
N607,135,BOTTOM
N608,53,BOTTOM
N609,53,BOTTOM
N610,53,BOTTOM
N611,53,BOTTOM
N612,53,BOTTOM
N613,53,BOTTOM
N614,53,BOTTOM
N615,364,BOTTOM
N616,135,BOTTOM
N617,149,BOTTOM
N618,300,BOTTOM
N619,60,BOTTOM
N620,224,BOTTOM
N621,343,BOTTOM
N622,60,BOTTOM
N623,126,BOTTOM
N624,60,BOTTOM
N625,159,BOTTOM
N626,177,BOTTOM
N627,65,BOTTOM
N628,170,BOTTOM
N629,231,BOTTOM
N630,367,BOTTOM
N631,389,BOTTOM
N632,344,BOTTOM
N633,65,BOTTOM
N634,115,BOTTOM
N635,53,BOTTOM
N636,273,BOTTOM
N637,348,BOTTOM
N638,125,BOTTOM
N639,390,BOTTOM
N640,63,BOTTOM
N641,133,BOTTOM
N642,180,BOTTOM
N643,135,BOTTOM
N644,298,BOTTOM
N645,225,BOTTOM
N646,57,BOTTOM
N647,242,BOTTOM
N648,495,BOTTOM
N649,1804,BOTTOM
N650,259,BOTTOM
N651,141,BOTTOM
N652,12495,BOTTOM
N653,559,BOTTOM
N654,4495,BOTTOM
N655,515,BOTTOM
N656,91,BOTTOM
N657,266,BOTTOM
N658,491,BOTTOM
N659,3284,BOTTOM
N660,5493,BOTTOM
N661,344,BOTTOM
N662,6067,BOTTOM
N663,4695,BOTTOM
N664,573,BOTTOM
N665,522,BOTTOM
N666,970,BOTTOM
N667,93,BOTTOM
N668,2078,BOTTOM
N669,65,BOTTOM
N670,3750,BOTTOM
N671,722,BOTTOM
N672,62,BOTTOM
N673,249,BOTTOM
N674,398,BOTTOM
N675,560,BOTTOM
N676,450,BOTTOM
N677,325,BOTTOM
N678,994,BOTTOM
N679,778,BOTTOM
N680,191,BOTTOM
N681,437,BOTTOM
N682,11344,BOTTOM
N683,86,BOTTOM
N684,394,BOTTOM
N685,170,BOTTOM
N686,79,BOTTOM
N687,3928,BOTTOM
N688,11190,BOTTOM
N689,5625,BOTTOM
N690,262,BOTTOM
N691,3049,BOTTOM
N692,772,BOTTOM
N693,265,BOTTOM
N694,424,BOTTOM
N695,4019,BOTTOM
N696,15165,BOTTOM
N697,86,BOTTOM
N698,415,BOTTOM
N699,41650,BOTTOM
N700,86,BOTTOM
N701,717,BOTTOM
N702,1859,BOTTOM
N703,303,BOTTOM
N704,272,BOTTOM
N705,91,BOTTOM
N706,116,BOTTOM
N707,86,BOTTOM
N708,92,BOTTOM
N709,27778,BOTTOM
N710,93,BOTTOM
N711,4256,BOTTOM
N712,4570,BOTTOM
N713,129,BOTTOM
N714,92,BOTTOM
N715,75,BOTTOM
N716,115,BOTTOM
N717,79,BOTTOM
N718,92,BOTTOM
N719,79,BOTTOM
N720,86,BOTTOM
N721,86,BOTTOM
N722,158,BOTTOM
N723,91,BOTTOM
N724,91,BOTTOM
N725,105,BOTTOM
N726,79,BOTTOM
N727,4581,BOTTOM
N728,264,BOTTOM
N729,79,BOTTOM
N730,407,BOTTOM
N731,23019,BOTTOM
N732,476,BOTTOM
N733,249,BOTTOM
N734,619,BOTTOM
N735,360,BOTTOM
N736,594,BOTTOM
N737,247,BOTTOM
N738,2246,BOTTOM
N739,903,BOTTOM
N740,3504,BOTTOM
N741,314,BOTTOM
N742,93,BOTTOM
N743,400,BOTTOM
N744,166,BOTTOM
N745,1840,BOTTOM
N746,227,BOTTOM
N747,260,BOTTOM
N748,314,BOTTOM
N749,288,BOTTOM
N750,501,BOTTOM
N751,210,BOTTOM
N752,2966,BOTTOM
N753,123,BOTTOM
N754,1841,BOTTOM
N755,189,BOTTOM
N756,131,BOTTOM
N757,184,BOTTOM
N758,153,BOTTOM
N759,192,BOTTOM
N760,346,BOTTOM
N761,1259,BOTTOM
N762,26317,BOTTOM
N763,79,BOTTOM
N764,18620,BOTTOM
N765,33028,BOTTOM
N766,144,BOTTOM
N767,138,BOTTOM
N768,11043,BOTTOM
N769,18221,BOTTOM
N770,15801,BOTTOM
N771,9069,BOTTOM
N772,853,BOTTOM
N773,5679,BOTTOM
N774,79,BOTTOM
N775,47044,BOTTOM
N776,11053,BOTTOM
N777,1978,BOTTOM
N778,1148,BOTTOM
N779,1283,BOTTOM
N780,2644,BOTTOM
N781,1439,BOTTOM
N782,2546,BOTTOM
N783,1974,BOTTOM
N784,107,BOTTOM
N785,556,BOTTOM
N786,823,BOTTOM
N787,5175,BOTTOM
N788,235,BOTTOM
N789,77,BOTTOM
N790,245,BOTTOM
N791,3560,BOTTOM
N792,1293,BOTTOM
N793,62,BOTTOM
N794,1725,BOTTOM
N795,1495,BOTTOM
N796,290,BOTTOM
N797,630,BOTTOM
N798,344,BOTTOM
N799,1420,BOTTOM
N800,551,BOTTOM
N801,1123,BOTTOM
N802,5382,BOTTOM
N803,4571,BOTTOM
N804,511,BOTTOM
N805,1941,BOTTOM
N806,1910,BOTTOM
N807,3433,BOTTOM
N808,1773,BOTTOM
N809,8179,BOTTOM
N810,2966,BOTTOM
N811,4856,BOTTOM
N812,3239,BOTTOM
N813,6195,BOTTOM
N814,2619,BOTTOM
N815,3399,BOTTOM
N816,6260,BOTTOM
N817,1987,BOTTOM
N818,3598,BOTTOM
N819,3791,BOTTOM
N820,2175,BOTTOM
N821,1578,BOTTOM
N822,6326,BOTTOM
N823,2591,BOTTOM
N824,4466,BOTTOM
N825,3446,BOTTOM
N826,4287,BOTTOM
N827,5648,BOTTOM
N828,6038,BOTTOM
N829,4986,BOTTOM
N830,3376,BOTTOM
N831,6304,BOTTOM
N832,4277,BOTTOM
N833,5417,BOTTOM
N834,7847,BOTTOM
N835,1244,BOTTOM
N836,4307,BOTTOM
N837,6084,BOTTOM
N838,4019,BOTTOM
N839,5630,BOTTOM
N840,3631,BOTTOM
N841,5333,BOTTOM
N842,2969,BOTTOM
N843,3728,BOTTOM
N844,3403,BOTTOM
N845,3328,BOTTOM
N846,4285,BOTTOM
N847,2257,BOTTOM
N848,3287,BOTTOM
N849,3055,BOTTOM
N850,4898,BOTTOM
N851,6872,BOTTOM
N852,2363,BOTTOM
N853,7105,BOTTOM
N854,6967,BOTTOM
N855,5613,BOTTOM
N856,2167,BOTTOM
N857,6140,BOTTOM
N858,6005,BOTTOM
N859,5586,BOTTOM
N860,4819,BOTTOM
N861,6279,BOTTOM
N862,8483,BOTTOM
N863,388,BOTTOM
N864,3557,BOTTOM
N865,2629,BOTTOM
N866,33,BOTTOM
N867,241,BOTTOM
N868,52,BOTTOM
N869,482,BOTTOM
N870,102,BOTTOM
N871,131,BOTTOM
N872,32581,BOTTOM
N873,5464,BOTTOM
N874,2879,BOTTOM
N875,2756,BOTTOM
N876,3146,BOTTOM
N877,2516,BOTTOM
N878,1879,BOTTOM
N879,2239,BOTTOM
N880,112,BOTTOM
N881,124,BOTTOM
N882,1723,BOTTOM
N883,4093,BOTTOM
N884,849,BOTTOM
N885,280,BOTTOM
N886,2181,BOTTOM
N887,2794,BOTTOM
N888,1032,BOTTOM
N889,1467,BOTTOM
N890,1388,BOTTOM
N891,1338,BOTTOM
N892,955,BOTTOM
N893,1454,BOTTOM
N894,481,BOTTOM
N895,571,BOTTOM
N896,1607,BOTTOM
N897,232,BOTTOM
N898,368,BOTTOM
N899,182,BOTTOM
N900,2895,BOTTOM
N901,2943,BOTTOM
N902,305,BOTTOM
N903,3144,BOTTOM
N904,452,BOTTOM
N905,1344,BOTTOM
N906,310,BOTTOM
N907,132,BOTTOM
N908,319,BOTTOM
N909,6599,BOTTOM
N910,3781,BOTTOM
N911,169,BOTTOM
N912,283,BOTTOM
N913,131,BOTTOM
N914,2632,BOTTOM
N915,4008,BOTTOM
N916,856,BOTTOM
N917,183,BOTTOM
N918,532,BOTTOM
N919,215,BOTTOM
N920,276,BOTTOM
N921,1281,BOTTOM
N922,1145,BOTTOM
N923,221,BOTTOM
N924,2147,BOTTOM
N925,936,BOTTOM
N926,1499,BOTTOM
N927,573,BOTTOM
N928,1450,BOTTOM
N929,1934,BOTTOM
N930,559,BOTTOM
N931,4265,BOTTOM
N932,931,BOTTOM
N933,217,BOTTOM
N934,621,BOTTOM
N935,370,BOTTOM
N936,704,BOTTOM
N937,793,BOTTOM
N938,311,BOTTOM
N939,182,BOTTOM
N940,538,BOTTOM
N941,640,BOTTOM
N942,435,BOTTOM
N943,4984,BOTTOM
N944,475,BOTTOM
N945,76,BOTTOM
N946,131,BOTTOM
N947,131,BOTTOM
N948,1218,BOTTOM
N949,509,BOTTOM
N950,310,BOTTOM
N951,474,BOTTOM
N952,170,BOTTOM
N953,900,BOTTOM
N954,717,BOTTOM
N955,255,BOTTOM
N956,507,BOTTOM
N957,418,BOTTOM
N958,274,BOTTOM
N959,2119,BOTTOM
N960,357,BOTTOM
N961,363,BOTTOM
N962,1208,BOTTOM
N963,867,BOTTOM
N964,771,BOTTOM
N965,108,BOTTOM
N966,1507,BOTTOM
N967,225,BOTTOM
N968,96,BOTTOM
N969,361,BOTTOM
N970,542,BOTTOM
N971,53524,BOTTOM
N972,2388,BOTTOM
N973,5852,BOTTOM
N974,9607,BOTTOM
N975,15236,BOTTOM
N976,15846,BOTTOM
N977,14520,BOTTOM
N978,23186,BOTTOM
N979,23669,BOTTOM
N980,12312,BOTTOM
N981,11761,BOTTOM
N982,15255,BOTTOM
N983,5813,BOTTOM
N984,9195,BOTTOM
N985,14092,BOTTOM
N986,6844,BOTTOM
N987,12291,BOTTOM
N988,14948,BOTTOM
N989,16295,BOTTOM
N990,21963,BOTTOM
N991,13467,BOTTOM
N992,10961,BOTTOM
N993,13497,BOTTOM
N994,8850,BOTTOM
N995,10504,BOTTOM
N996,26686,BOTTOM
N997,10912,BOTTOM
N998,29454,BOTTOM
N999,13663,BOTTOM
N1000,10696,BOTTOM
N1001,13104,BOTTOM
N1002,17316,BOTTOM
N1003,26614,BOTTOM
N1004,13725,BOTTOM
N1005,7509,BOTTOM
N1006,1142,BOTTOM
N1007,778,BOTTOM
N1008,1161,BOTTOM
N1009,1447,BOTTOM
N1010,997,BOTTOM
N1011,966,BOTTOM
N1012,2439,BOTTOM
N1013,4304,BOTTOM
N1014,1868,BOTTOM
N1015,1699,BOTTOM
N1016,1595,BOTTOM
N1017,2853,BOTTOM
N1018,2374,BOTTOM
N1019,3424,BOTTOM
N1020,644,BOTTOM
N1021,5559,BOTTOM
N1022,4525,BOTTOM
N1023,2660,BOTTOM
N1024,777,BOTTOM
N1025,603,BOTTOM
N1026,971,BOTTOM
N1027,2275,BOTTOM
N1028,1353,BOTTOM
N1029,1046,BOTTOM
N1030,630,BOTTOM
N1031,558,BOTTOM
N1032,614,BOTTOM
N1033,4445,BOTTOM
N1034,5111,BOTTOM
N1035,7852,BOTTOM
N1036,8922,BOTTOM
N1037,15255,BOTTOM
N1038,15756,BOTTOM
N1039,18011,BOTTOM
N1040,15768,BOTTOM
N1041,14385,BOTTOM
N1042,16937,BOTTOM
N1043,16430,BOTTOM
N1044,12235,BOTTOM
N1045,14588,BOTTOM
N1046,16242,BOTTOM
N1047,19396,BOTTOM
N1048,13415,BOTTOM
N1049,20177,BOTTOM
N1050,14396,BOTTOM
N1051,16265,BOTTOM
N1052,20464,BOTTOM
N1053,19088,BOTTOM
N1054,22020,BOTTOM
N1055,21208,BOTTOM
N1056,19300,BOTTOM
N1057,20801,BOTTOM
N1058,19234,BOTTOM
N1059,16134,BOTTOM
N1060,19359,BOTTOM
N1061,16505,BOTTOM
N1062,14176,BOTTOM
N1063,21470,BOTTOM
N1064,13739,BOTTOM
N1065,12157,BOTTOM
N1066,17587,BOTTOM
N1067,6170,BOTTOM
N1068,6433,BOTTOM
N1069,3452,BOTTOM
N1070,2302,BOTTOM
N1071,2138,BOTTOM
N1072,3156,BOTTOM
N1073,900,BOTTOM
N1074,1326,BOTTOM
N1075,2559,BOTTOM
N1076,2383,BOTTOM
N1077,1238,BOTTOM
N1078,5089,BOTTOM
N1079,2322,BOTTOM
N1080,2640,BOTTOM
N1081,2084,BOTTOM
N1082,2210,BOTTOM
N1083,2881,BOTTOM
N1084,1985,BOTTOM
N1085,3066,BOTTOM
N1086,2495,BOTTOM
N1087,2394,BOTTOM
N1088,4029,BOTTOM
N1089,5302,BOTTOM
N1090,738,BOTTOM
N1091,1642,BOTTOM
N1092,4266,BOTTOM
N1093,1376,BOTTOM
N1094,8836,BOTTOM
N1095,7805,BOTTOM
N1096,1468,BOTTOM
N1097,769,BOTTOM
N1098,779,BOTTOM
N1099,1107,BOTTOM
N1100,1451,BOTTOM
N1101,3752,BOTTOM
N1102,1720,BOTTOM
N1103,1261,BOTTOM
N1104,6187,BOTTOM
N1105,7930,BOTTOM
N1106,2558,BOTTOM
N1107,1889,BOTTOM
N1108,2360,BOTTOM
N1109,3057,BOTTOM
N1110,3317,BOTTOM
N1111,2020,BOTTOM
N1112,3098,BOTTOM
N1113,592,BOTTOM
