net_name,hpwl,type_die
N185,215,BOTTOM
N186,42,BOTTOM
N187,122,BOTTOM
N188,235,BOTTOM
N189,206,BOTTOM
N190,100,BOTTOM
N191,42,BOTTOM
N192,42,BOTTOM
N193,42,BOTTOM
N194,42,BOTTOM
N195,42,BOTTOM
N196,42,BOTTOM
N197,42,BOTTOM
N198,92,BOTTOM
N199,42,BOTTOM
N200,42,BOTTOM
N201,42,BOTTOM
N202,42,BOTTOM
N203,42,BOTTOM
N204,42,BOTTOM
N205,42,BOTTOM
N206,133,BOTTOM
N207,42,BOTTOM
N208,108,BOTTOM
N209,42,BOTTOM
N210,42,BOTTOM
N211,173,BOTTOM
N212,188,BOTTOM
N213,145,BOTTOM
N214,42,BOTTOM
N215,42,BOTTOM
N216,42,BOTTOM
N217,157,BOTTOM
N218,42,BOTTOM
N219,122,BOTTOM
N220,42,BOTTOM
N221,42,BOTTOM
N222,42,BOTTOM
N223,42,BOTTOM
N224,42,BOTTOM
N225,42,BOTTOM
N226,42,BOTTOM
N227,42,BOTTOM
N228,141,BOTTOM
N229,42,BOTTOM
N230,165,BOTTOM
N231,42,BOTTOM
N232,42,BOTTOM
N233,42,BOTTOM
N234,354,BOTTOM
N235,42,BOTTOM
N236,42,BOTTOM
N237,42,BOTTOM
N238,319,BOTTOM
N239,42,BOTTOM
N240,42,BOTTOM
N241,42,BOTTOM
N242,42,BOTTOM
N243,42,BOTTOM
N244,42,BOTTOM
N245,162,BOTTOM
N246,42,BOTTOM
N247,42,BOTTOM
N248,42,BOTTOM
N249,42,BOTTOM
N250,42,BOTTOM
N251,42,BOTTOM
N252,42,BOTTOM
N253,42,BOTTOM
N254,135,BOTTOM
N255,42,BOTTOM
N256,42,BOTTOM
N257,42,BOTTOM
N258,177,BOTTOM
N259,126,BOTTOM
N260,42,BOTTOM
N261,121,BOTTOM
N262,42,BOTTOM
N263,330,BOTTOM
N264,42,BOTTOM
N265,114,BOTTOM
N266,42,BOTTOM
N267,122,BOTTOM
N268,133,BOTTOM
N269,102,BOTTOM
N270,203,BOTTOM
N271,133,BOTTOM
N272,133,BOTTOM
N273,133,BOTTOM
N274,122,BOTTOM
N275,122,BOTTOM
N276,97,BOTTOM
N277,122,BOTTOM
N278,133,BOTTOM
N279,133,BOTTOM
N280,122,BOTTOM
N281,82,BOTTOM
N282,81,BOTTOM
N283,91,BOTTOM
N284,202,BOTTOM
N285,133,BOTTOM
N286,122,BOTTOM
N287,122,BOTTOM
N288,122,BOTTOM
N289,122,BOTTOM
N290,122,BOTTOM
N291,122,BOTTOM
N292,166,BOTTOM
N293,442,BOTTOM
N294,111,BOTTOM
N295,122,BOTTOM
N296,272,BOTTOM
N297,94,BOTTOM
N298,127,BOTTOM
N299,122,BOTTOM
N300,90,BOTTOM
N301,215,BOTTOM
N302,134,BOTTOM
N303,176,BOTTOM
N304,122,BOTTOM
N305,171,BOTTOM
N306,133,BOTTOM
N307,80,BOTTOM
N308,122,BOTTOM
N309,180,BOTTOM
N310,133,BOTTOM
N311,133,BOTTOM
N312,106,BOTTOM
N313,83,BOTTOM
N314,100,BOTTOM
N315,87,BOTTOM
N316,140,BOTTOM
N317,133,BOTTOM
N318,177,BOTTOM
N319,122,BOTTOM
N320,122,BOTTOM
N321,162,BOTTOM
N322,111,BOTTOM
N323,133,BOTTOM
N324,87,BOTTOM
N325,122,BOTTOM
N326,255,BOTTOM
N327,136,BOTTOM
N328,133,BOTTOM
N329,186,BOTTOM
N330,133,BOTTOM
N331,150,BOTTOM
N332,133,BOTTOM
N333,221,BOTTOM
N334,164,BOTTOM
N335,133,BOTTOM
N336,133,BOTTOM
N337,122,BOTTOM
N338,166,BOTTOM
N339,165,BOTTOM
N340,122,BOTTOM
N341,182,BOTTOM
N342,96,BOTTOM
N343,133,BOTTOM
N344,277,BOTTOM
N345,113,BOTTOM
N346,182,BOTTOM
N347,42,BOTTOM
N348,42,BOTTOM
N349,42,BOTTOM
N350,42,BOTTOM
N351,147,BOTTOM
N352,42,BOTTOM
N353,158,BOTTOM
N354,42,BOTTOM
N355,42,BOTTOM
N356,119,BOTTOM
N357,42,BOTTOM
N358,42,BOTTOM
N359,189,BOTTOM
N360,42,BOTTOM
N361,42,BOTTOM
N362,42,BOTTOM
N363,42,BOTTOM
N364,42,BOTTOM
N365,42,BOTTOM
N366,42,BOTTOM
N367,42,BOTTOM
N368,42,BOTTOM
N369,42,BOTTOM
N370,42,BOTTOM
N371,42,BOTTOM
N372,42,BOTTOM
N373,42,BOTTOM
N374,42,BOTTOM
N375,231,BOTTOM
N376,42,BOTTOM
N377,42,BOTTOM
N378,42,BOTTOM
N379,133,BOTTOM
N380,122,BOTTOM
N381,82,BOTTOM
N382,81,BOTTOM
N383,122,BOTTOM
N384,183,BOTTOM
N385,240,BOTTOM
N386,122,BOTTOM
N387,199,BOTTOM
N388,104,BOTTOM
N389,122,BOTTOM
N390,81,BOTTOM
N391,133,BOTTOM
N392,99,BOTTOM
N393,122,BOTTOM
N394,228,BOTTOM
N395,97,BOTTOM
N396,122,BOTTOM
N397,122,BOTTOM
N398,170,BOTTOM
N399,133,BOTTOM
N400,122,BOTTOM
N401,122,BOTTOM
N402,122,BOTTOM
N403,82,BOTTOM
N404,81,BOTTOM
N405,122,BOTTOM
N406,122,BOTTOM
N407,134,BOTTOM
N408,93,BOTTOM
N409,122,BOTTOM
N410,151,BOTTOM
N411,122,BOTTOM
N412,103,BOTTOM
N413,339,BOTTOM
N414,122,BOTTOM
N415,122,BOTTOM
N416,81,BOTTOM
N417,122,BOTTOM
N418,122,BOTTOM
N419,122,BOTTOM
N420,298,BOTTOM
N421,145,BOTTOM
N422,159,BOTTOM
N423,162,BOTTOM
N424,86,BOTTOM
N425,122,BOTTOM
N426,84,BOTTOM
N427,87,BOTTOM
N428,196,BOTTOM
N429,122,BOTTOM
N430,122,BOTTOM
N431,122,BOTTOM
N432,314,BOTTOM
N433,104,BOTTOM
N434,136,BOTTOM
N435,122,BOTTOM
N436,122,BOTTOM
N437,122,BOTTOM
N438,122,BOTTOM
N439,100,BOTTOM
N440,122,BOTTOM
N441,122,BOTTOM
N442,122,BOTTOM
N443,170,BOTTOM
N444,122,BOTTOM
N445,42,BOTTOM
N446,173,BOTTOM
N447,164,BOTTOM
N448,42,BOTTOM
N449,42,BOTTOM
N450,42,BOTTOM
N451,117,BOTTOM
N452,42,BOTTOM
N453,214,BOTTOM
N454,219,BOTTOM
N455,168,BOTTOM
N456,42,BOTTOM
N457,217,BOTTOM
N458,42,BOTTOM
N459,42,BOTTOM
N460,42,BOTTOM
N461,42,BOTTOM
N462,193,BOTTOM
N463,42,BOTTOM
N464,42,BOTTOM
N465,139,BOTTOM
N466,132,BOTTOM
N467,315,BOTTOM
N468,42,BOTTOM
N469,108,BOTTOM
N470,42,BOTTOM
N471,42,BOTTOM
N472,42,BOTTOM
N473,42,BOTTOM
N474,128,BOTTOM
N475,42,BOTTOM
N476,127,BOTTOM
N477,123,BOTTOM
N478,42,BOTTOM
N479,42,BOTTOM
N480,42,BOTTOM
N481,42,BOTTOM
N482,42,BOTTOM
N483,42,BOTTOM
N484,42,BOTTOM
N485,203,BOTTOM
N486,42,BOTTOM
N487,42,BOTTOM
N488,42,BOTTOM
N489,42,BOTTOM
N490,160,BOTTOM
N491,42,BOTTOM
N492,202,BOTTOM
N493,42,BOTTOM
N494,42,BOTTOM
N495,42,BOTTOM
N496,124,BOTTOM
N497,42,BOTTOM
N498,42,BOTTOM
N499,42,BOTTOM
N500,42,BOTTOM
N501,125,BOTTOM
N502,42,BOTTOM
N503,42,BOTTOM
N504,42,BOTTOM
N505,368,BOTTOM
N506,123,BOTTOM
N507,42,BOTTOM
N508,42,BOTTOM
N509,42,BOTTOM
N510,42,BOTTOM
N511,157,BOTTOM
N512,149,BOTTOM
N513,42,BOTTOM
N514,42,BOTTOM
N515,42,BOTTOM
N516,42,BOTTOM
N517,42,BOTTOM
N518,42,BOTTOM
N519,42,BOTTOM
N520,42,BOTTOM
N521,42,BOTTOM
N522,42,BOTTOM
N523,119,BOTTOM
N524,135,BOTTOM
N525,42,BOTTOM
N526,42,BOTTOM
N527,157,BOTTOM
N528,42,BOTTOM
N529,42,BOTTOM
N530,42,BOTTOM
N531,42,BOTTOM
N532,42,BOTTOM
N533,42,BOTTOM
N534,42,BOTTOM
N535,42,BOTTOM
N536,118,BOTTOM
N537,42,BOTTOM
N538,42,BOTTOM
N539,42,BOTTOM
N540,42,BOTTOM
N541,123,BOTTOM
N542,193,BOTTOM
N543,42,BOTTOM
N544,144,BOTTOM
N545,138,BOTTOM
N546,124,BOTTOM
N547,307,BOTTOM
N548,42,BOTTOM
N549,42,BOTTOM
N550,42,BOTTOM
N551,127,BOTTOM
N552,42,BOTTOM
N553,42,BOTTOM
N554,237,BOTTOM
N555,192,BOTTOM
N556,123,BOTTOM
N557,135,BOTTOM
N558,184,BOTTOM
N559,42,BOTTOM
N560,42,BOTTOM
N561,113,BOTTOM
N562,114,BOTTOM
N563,42,BOTTOM
N564,42,BOTTOM
N565,130,BOTTOM
N566,183,BOTTOM
N567,165,BOTTOM
N568,42,BOTTOM
N569,131,BOTTOM
N570,220,BOTTOM
N571,194,BOTTOM
N572,207,BOTTOM
N573,136,BOTTOM
N574,42,BOTTOM
N575,42,BOTTOM
N576,155,BOTTOM
N577,120,BOTTOM
N578,42,BOTTOM
N579,144,BOTTOM
N580,42,BOTTOM
N581,42,BOTTOM
N582,42,BOTTOM
N583,42,BOTTOM
N584,42,BOTTOM
N585,42,BOTTOM
N586,42,BOTTOM
N587,42,BOTTOM
N588,179,BOTTOM
N589,42,BOTTOM
N590,42,BOTTOM
N591,157,BOTTOM
N592,42,BOTTOM
N593,236,BOTTOM
N594,42,BOTTOM
N595,157,BOTTOM
N596,42,BOTTOM
N597,42,BOTTOM
N598,42,BOTTOM
N599,42,BOTTOM
N600,42,BOTTOM
N601,157,BOTTOM
N602,42,BOTTOM
N603,145,BOTTOM
N604,42,BOTTOM
N605,42,BOTTOM
N606,42,BOTTOM
N607,42,BOTTOM
N608,42,BOTTOM
N609,42,BOTTOM
N610,42,BOTTOM
N611,42,BOTTOM
N612,42,BOTTOM
N613,42,BOTTOM
N614,42,BOTTOM
N615,42,BOTTOM
N616,42,BOTTOM
N617,175,BOTTOM
N618,153,BOTTOM
N619,42,BOTTOM
N620,42,BOTTOM
N621,42,BOTTOM
N622,42,BOTTOM
N623,163,BOTTOM
N624,42,BOTTOM
N625,42,BOTTOM
N626,42,BOTTOM
N627,134,BOTTOM
N628,42,BOTTOM
N629,42,BOTTOM
N630,116,BOTTOM
N631,42,BOTTOM
N632,42,BOTTOM
N633,133,BOTTOM
N634,42,BOTTOM
N635,207,BOTTOM
N636,42,BOTTOM
N637,42,BOTTOM
N638,42,BOTTOM
N639,42,BOTTOM
N640,42,BOTTOM
N641,42,BOTTOM
N642,197,BOTTOM
N643,42,BOTTOM
N644,42,BOTTOM
N645,42,BOTTOM
N646,42,BOTTOM
N647,42,BOTTOM
N648,42,BOTTOM
N649,42,BOTTOM
N650,42,BOTTOM
N651,42,BOTTOM
N652,42,BOTTOM
N653,42,BOTTOM
N654,42,BOTTOM
N655,42,BOTTOM
N656,42,BOTTOM
N657,42,BOTTOM
N658,42,BOTTOM
N659,188,BOTTOM
N660,42,BOTTOM
N661,42,BOTTOM
N662,42,BOTTOM
N663,42,BOTTOM
N664,261,BOTTOM
N665,42,BOTTOM
N666,42,BOTTOM
N667,118,BOTTOM
N668,42,BOTTOM
N669,140,BOTTOM
N670,42,BOTTOM
N671,42,BOTTOM
N672,135,BOTTOM
N673,42,BOTTOM
N674,42,BOTTOM
N675,42,BOTTOM
N676,172,BOTTOM
N677,42,BOTTOM
N678,42,BOTTOM
N679,42,BOTTOM
N680,42,BOTTOM
N681,160,BOTTOM
N682,42,BOTTOM
N683,42,BOTTOM
N684,42,BOTTOM
N685,42,BOTTOM
N686,42,BOTTOM
N687,138,BOTTOM
N688,42,BOTTOM
N689,42,BOTTOM
N690,157,BOTTOM
N691,138,BOTTOM
N692,42,BOTTOM
N693,42,BOTTOM
N694,42,BOTTOM
N695,42,BOTTOM
N696,42,BOTTOM
N697,42,BOTTOM
N698,206,BOTTOM
N699,92,BOTTOM
N700,42,BOTTOM
N701,42,BOTTOM
N702,185,BOTTOM
N703,42,BOTTOM
N704,42,BOTTOM
N705,346,BOTTOM
N706,42,BOTTOM
N707,42,BOTTOM
N708,42,BOTTOM
N709,148,BOTTOM
N710,42,BOTTOM
N711,42,BOTTOM
N712,42,BOTTOM
N713,42,BOTTOM
N714,42,BOTTOM
N715,42,BOTTOM
N716,42,BOTTOM
N717,42,BOTTOM
N718,42,BOTTOM
N719,42,BOTTOM
N720,139,BOTTOM
N721,42,BOTTOM
N722,142,BOTTOM
N723,215,BOTTOM
N724,42,BOTTOM
N725,42,BOTTOM
N726,42,BOTTOM
N727,42,BOTTOM
N728,42,BOTTOM
N729,42,BOTTOM
N730,42,BOTTOM
N731,42,BOTTOM
N732,42,BOTTOM
N733,42,BOTTOM
N734,108,BOTTOM
N735,349,BOTTOM
N736,42,BOTTOM
N737,42,BOTTOM
N738,42,BOTTOM
N739,42,BOTTOM
N740,142,BOTTOM
N741,42,BOTTOM
N742,42,BOTTOM
N743,42,BOTTOM
N744,42,BOTTOM
N745,42,BOTTOM
N746,42,BOTTOM
N747,42,BOTTOM
N748,42,BOTTOM
N749,92,BOTTOM
N750,42,BOTTOM
N751,177,BOTTOM
N752,42,BOTTOM
N753,42,BOTTOM
N754,42,BOTTOM
N755,42,BOTTOM
N756,42,BOTTOM
N757,42,BOTTOM
N758,42,BOTTOM
N759,42,BOTTOM
N760,92,BOTTOM
N761,108,BOTTOM
N762,42,BOTTOM
N763,42,BOTTOM
N764,91,BOTTOM
N765,149,BOTTOM
N766,42,BOTTOM
N767,42,BOTTOM
N768,42,BOTTOM
N769,121,BOTTOM
N770,121,BOTTOM
N771,132,BOTTOM
N772,42,BOTTOM
N773,42,BOTTOM
N774,42,BOTTOM
N775,239,BOTTOM
N776,163,BOTTOM
N777,42,BOTTOM
N778,142,BOTTOM
N779,42,BOTTOM
N780,42,BOTTOM
N781,42,BOTTOM
N782,244,BOTTOM
N783,42,BOTTOM
N784,42,BOTTOM
N785,42,BOTTOM
N786,42,BOTTOM
N787,42,BOTTOM
N788,42,BOTTOM
N789,42,BOTTOM
N790,42,BOTTOM
N791,42,BOTTOM
N792,42,BOTTOM
N793,42,BOTTOM
N794,234,BOTTOM
N795,42,BOTTOM
N796,42,BOTTOM
N797,304,BOTTOM
N798,42,BOTTOM
N799,137,BOTTOM
N800,42,BOTTOM
N801,42,BOTTOM
N802,183,BOTTOM
N803,42,BOTTOM
N804,156,BOTTOM
N805,42,BOTTOM
N806,42,BOTTOM
N807,42,BOTTOM
N808,121,BOTTOM
N809,216,BOTTOM
N810,125,BOTTOM
N811,42,BOTTOM
N812,54,BOTTOM
N813,270,BOTTOM
N814,170,BOTTOM
N815,202,BOTTOM
N816,42,BOTTOM
N817,42,BOTTOM
N818,130,BOTTOM
N819,160,BOTTOM
N820,42,BOTTOM
N821,42,BOTTOM
N822,42,BOTTOM
N823,157,BOTTOM
N824,42,BOTTOM
N825,266,BOTTOM
N826,143,BOTTOM
N827,42,BOTTOM
N828,121,BOTTOM
N829,42,BOTTOM
N830,92,BOTTOM
N831,42,BOTTOM
N832,42,BOTTOM
N833,157,BOTTOM
N834,42,BOTTOM
N835,42,BOTTOM
N836,42,BOTTOM
N837,42,BOTTOM
N838,42,BOTTOM
N839,133,BOTTOM
N840,42,BOTTOM
N841,42,BOTTOM
N842,161,BOTTOM
N843,137,BOTTOM
N844,174,BOTTOM
N845,42,BOTTOM
N846,122,BOTTOM
N847,42,BOTTOM
N848,159,BOTTOM
N849,42,BOTTOM
N850,42,BOTTOM
N851,42,BOTTOM
N852,42,BOTTOM
N853,42,BOTTOM
N854,42,BOTTOM
N855,42,BOTTOM
N856,42,BOTTOM
N857,42,BOTTOM
N858,42,BOTTOM
N859,42,BOTTOM
N860,42,BOTTOM
N861,42,BOTTOM
N862,157,BOTTOM
N863,42,BOTTOM
N864,42,BOTTOM
N865,140,BOTTOM
N866,42,BOTTOM
N867,157,BOTTOM
N868,42,BOTTOM
N869,42,BOTTOM
N870,42,BOTTOM
N871,135,BOTTOM
N872,42,BOTTOM
N873,132,BOTTOM
N874,233,BOTTOM
N875,153,BOTTOM
N876,137,BOTTOM
N877,150,BOTTOM
N878,42,BOTTOM
N879,210,BOTTOM
N880,150,BOTTOM
N881,324,BOTTOM
N882,42,BOTTOM
N883,42,BOTTOM
N884,119,BOTTOM
N885,42,BOTTOM
N886,42,BOTTOM
N887,296,BOTTOM
N888,176,BOTTOM
N889,42,BOTTOM
N890,42,BOTTOM
N891,139,BOTTOM
N892,42,BOTTOM
N893,42,BOTTOM
N894,42,BOTTOM
N895,42,BOTTOM
N896,42,BOTTOM
N897,42,BOTTOM
N898,42,BOTTOM
N899,123,BOTTOM
N900,42,BOTTOM
N901,42,BOTTOM
N902,42,BOTTOM
N903,197,BOTTOM
N904,42,BOTTOM
N905,42,BOTTOM
N906,42,BOTTOM
N907,42,BOTTOM
N908,148,BOTTOM
N909,42,BOTTOM
N910,42,BOTTOM
N911,42,BOTTOM
N912,42,BOTTOM
N913,42,BOTTOM
N914,42,BOTTOM
N915,42,BOTTOM
N916,42,BOTTOM
N917,193,BOTTOM
N918,42,BOTTOM
N919,42,BOTTOM
N920,42,BOTTOM
N921,163,BOTTOM
N922,42,BOTTOM
N923,42,BOTTOM
N924,42,BOTTOM
N925,42,BOTTOM
N926,42,BOTTOM
N927,42,BOTTOM
N928,315,BOTTOM
N929,42,BOTTOM
N930,219,BOTTOM
N931,42,BOTTOM
N932,42,BOTTOM
N933,155,BOTTOM
N934,42,BOTTOM
N935,176,BOTTOM
N936,42,BOTTOM
N937,126,BOTTOM
N938,42,BOTTOM
N939,227,BOTTOM
N940,42,BOTTOM
N941,157,BOTTOM
N942,42,BOTTOM
N943,42,BOTTOM
N944,168,BOTTOM
N945,134,BOTTOM
N946,42,BOTTOM
N947,42,BOTTOM
N948,42,BOTTOM
N949,266,BOTTOM
N950,335,BOTTOM
N951,42,BOTTOM
N952,126,BOTTOM
N953,42,BOTTOM
N954,130,BOTTOM
N955,42,BOTTOM
N956,42,BOTTOM
N957,42,BOTTOM
N958,42,BOTTOM
N959,160,BOTTOM
N960,127,BOTTOM
N961,277,BOTTOM
N962,42,BOTTOM
N963,143,BOTTOM
N964,184,BOTTOM
N965,344,BOTTOM
N966,42,BOTTOM
N967,149,BOTTOM
N968,217,BOTTOM
N969,108,BOTTOM
N970,137,BOTTOM
N971,42,BOTTOM
N972,142,BOTTOM
N973,168,BOTTOM
N974,208,BOTTOM
N975,124,BOTTOM
N976,42,BOTTOM
N977,42,BOTTOM
N978,42,BOTTOM
N979,130,BOTTOM
N980,272,BOTTOM
N981,272,BOTTOM
N982,376,BOTTOM
N983,42,BOTTOM
N984,154,BOTTOM
N985,154,BOTTOM
N986,92,BOTTOM
N987,215,BOTTOM
N988,42,BOTTOM
N989,42,BOTTOM
N990,42,BOTTOM
N991,42,BOTTOM
N992,137,BOTTOM
N993,119,BOTTOM
N994,42,BOTTOM
N995,42,BOTTOM
N996,42,BOTTOM
N997,136,BOTTOM
N998,97,BOTTOM
N999,42,BOTTOM
N1000,42,BOTTOM
N1001,42,BOTTOM
N1002,42,BOTTOM
N1003,42,BOTTOM
N1004,176,BOTTOM
N1005,42,BOTTOM
N1006,42,BOTTOM
N1007,300,BOTTOM
N1008,42,BOTTOM
N1009,42,BOTTOM
N1010,42,BOTTOM
N1011,122,BOTTOM
N1012,42,BOTTOM
N1013,42,BOTTOM
N1014,42,BOTTOM
N1015,42,BOTTOM
N1016,42,BOTTOM
N1017,42,BOTTOM
N1018,42,BOTTOM
N1019,124,BOTTOM
N1020,42,BOTTOM
N1021,157,BOTTOM
N1022,42,BOTTOM
N1023,42,BOTTOM
N1024,42,BOTTOM
N1025,140,BOTTOM
N1026,42,BOTTOM
N1027,42,BOTTOM
N1028,124,BOTTOM
N1029,42,BOTTOM
N1030,42,BOTTOM
N1031,157,BOTTOM
N1032,166,BOTTOM
N1033,42,BOTTOM
N1034,42,BOTTOM
N1035,190,BOTTOM
N1036,147,BOTTOM
N1037,152,BOTTOM
N1038,157,BOTTOM
N1039,133,BOTTOM
N1040,119,BOTTOM
N1041,42,BOTTOM
N1042,42,BOTTOM
N1043,42,BOTTOM
N1044,42,BOTTOM
N1045,118,BOTTOM
N1046,139,BOTTOM
N1047,42,BOTTOM
N1048,119,BOTTOM
N1049,157,BOTTOM
N1050,169,BOTTOM
N1051,42,BOTTOM
N1052,114,BOTTOM
N1053,42,BOTTOM
N1054,108,BOTTOM
N1055,42,BOTTOM
N1056,256,BOTTOM
N1057,42,BOTTOM
N1058,42,BOTTOM
N1059,42,BOTTOM
N1060,42,BOTTOM
N1061,42,BOTTOM
N1062,162,BOTTOM
N1063,42,BOTTOM
N1064,42,BOTTOM
N1065,42,BOTTOM
N1066,42,BOTTOM
N1067,42,BOTTOM
N1068,42,BOTTOM
N1069,42,BOTTOM
N1070,42,BOTTOM
N1071,42,BOTTOM
N1072,42,BOTTOM
N1073,42,BOTTOM
N1074,42,BOTTOM
N1075,134,BOTTOM
N1076,42,BOTTOM
N1077,42,BOTTOM
N1078,42,BOTTOM
N1079,42,BOTTOM
N1080,42,BOTTOM
N1081,42,BOTTOM
N1082,42,BOTTOM
N1083,42,BOTTOM
N1084,42,BOTTOM
N1085,42,BOTTOM
N1086,42,BOTTOM
N1087,204,BOTTOM
N1088,108,BOTTOM
N1089,133,BOTTOM
N1090,131,BOTTOM
N1091,86,BOTTOM
N1092,174,BOTTOM
N1093,264,BOTTOM
N1094,152,BOTTOM
N1095,227,BOTTOM
N1096,133,BOTTOM
N1097,226,BOTTOM
N1098,82,BOTTOM
N1099,216,BOTTOM
N1100,200,BOTTOM
N1101,90,BOTTOM
N1102,108,BOTTOM
N1103,133,BOTTOM
N1104,114,BOTTOM
N1105,88,BOTTOM
N1106,122,BOTTOM
N1107,133,BOTTOM
N1108,133,BOTTOM
N1109,96,BOTTOM
N1110,117,BOTTOM
N1111,97,BOTTOM
N1112,160,BOTTOM
N1113,130,BOTTOM
N1114,117,BOTTOM
N1115,133,BOTTOM
N1116,122,BOTTOM
N1117,248,BOTTOM
N1118,285,BOTTOM
N1119,42,BOTTOM
N1120,42,BOTTOM
N1121,42,BOTTOM
N1122,42,BOTTOM
N1123,42,BOTTOM
N1124,42,BOTTOM
N1125,122,BOTTOM
N1126,42,BOTTOM
N1127,42,BOTTOM
N1128,92,BOTTOM
N1129,42,BOTTOM
N1130,42,BOTTOM
N1131,42,BOTTOM
N1132,42,BOTTOM
N1133,42,BOTTOM
N1134,42,BOTTOM
N1135,42,BOTTOM
N1136,42,BOTTOM
N1137,42,BOTTOM
N1138,42,BOTTOM
N1139,42,BOTTOM
N1140,246,BOTTOM
N1141,139,BOTTOM
N1142,42,BOTTOM
N1143,42,BOTTOM
N1144,42,BOTTOM
N1145,42,BOTTOM
N1146,42,BOTTOM
N1147,42,BOTTOM
N1148,157,BOTTOM
N1149,248,BOTTOM
N1150,42,BOTTOM
N1151,133,BOTTOM
